,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,Okhotsk,100,RU,1564436515,87,55.31,59.36,143.24,1.91
1,Busselton,0,AU,1564436515,73,42.007999999999996,-33.64,115.35,3.97
2,Caravelas,2,BR,1564436515,72,71.33000000000001,-17.73,-39.27,4.24
3,Talara,0,PE,1564436245,290,62.6,-4.58,-81.27,7.7
4,Luena,0,AO,1564436515,28,53.870000000000005,-11.78,19.91,0.88
5,Borken,0,DE,1564436516,68,73.994,51.84,6.86,1.61
6,Vostochnyy,0,RU,1564436516,76,57.2,55.82,37.87,3.0
7,Hartford,40,US,1564436464,43,91.994,41.76,-72.69,3.6
8,Upernavik,0,GL,1564436516,74,43.25,72.79,-56.15,3.98
9,Jamestown,0,AU,1564436406,85,41.81,-33.21,138.6,2.63
10,Lasa,20,CY,1564436516,88,78.80000000000001,34.92,32.53,2.6
11,Lundazi,0,ZM,1564436516,55,57.650000000000006,-12.29,33.17,1.99
12,New Norfolk,20,AU,1564436517,69,39.992000000000004,-42.78,147.06,2.6
13,Baker City,1,US,1564436517,14,89.6,44.77,-117.83,2.6
14,Waingapu,3,ID,1564436517,94,66.11,-9.65,120.26,3.53
15,Sant Feliu de Guixols,0,ES,1564436517,83,77.0,41.78,3.03,1.33
16,Ponta do Sol,89,BR,1564436517,59,65.39,-20.63,-46.0,1.63
17,Katsuura,20,JP,1564436518,94,78.008,33.93,134.5,0.5
18,Narsaq,1,GL,1564436518,47,59.0,60.91,-46.05,4.6
19,Thompson,20,CA,1564436518,42,66.2,55.74,-97.86,5.7
20,Boddam,40,GB,1564436518,93,62.006,57.47,-1.78,1.5
21,Shelburne,20,CA,1564436518,40,87.80000000000001,44.08,-80.2,6.2
22,El Dovio,40,CO,1564436518,73,77.0,4.51,-76.24,1.0
23,Egvekinot,22,RU,1564436519,59,51.17,66.32,-179.17,4.99
24,Mathbaria,96,BD,1564436519,88,79.97,22.29,89.96,3.01
25,Sorland,0,NO,1564436519,71,55.400000000000006,67.67,12.69,5.7
26,Aracoiaba,40,BR,1564436519,55,78.17,-4.37,-38.81,2.07
27,Pringsewu,86,ID,1564436519,92,69.53,-5.36,104.98,0.41
28,Mahon,75,IE,1564436520,93,57.992000000000004,51.89,-8.4,4.1
29,Coahuayana,85,MX,1564436520,72,82.31,18.62,-100.35,1.14
30,Rapid Valley,20,US,1564436520,50,78.008,44.06,-103.15,5.1
31,Bella Vista,0,AR,1564436520,49,68.0,-27.03,-65.31,1.08
32,Daru,100,PG,1564436520,93,71.50999999999999,-9.07,143.21,2.64
33,Tuatapere,100,NZ,1564436520,98,44.996,-46.13,167.69,4.47
34,Puri,68,ID,1564436521,90,69.35,-7.54,112.45,3.35
35,Laguna,40,BZ,1564436521,61,87.80000000000001,16.17,-88.94,3.1
36,Coihaique,90,CL,1564436521,93,42.8,-45.58,-72.07,0.84
37,Nantucket,1,US,1564436521,88,84.2,41.28,-70.1,5.1
38,Lavrentiya,100,RU,1564436521,79,48.83,65.58,-170.99,3.23
39,Nyagan,94,RU,1564436522,89,62.69,62.14,65.43,4.95
40,Pavlodar,90,KZ,1564436522,68,66.2,52.28,76.96,3.0
41,Turukhansk,0,RU,1564436522,88,46.85,65.8,87.96,1.65
42,Chokurdakh,100,RU,1564436522,89,38.03,70.62,147.9,3.06
43,Kintampo,35,GH,1564436522,91,73.13,8.05,-1.73,1.78
44,Chiredzi,0,ZW,1564436523,41,58.01,-21.05,31.67,1.21
45,Grindavik,75,IS,1564436523,77,60.8,63.84,-22.43,2.6
46,San Lorenzo,0,HN,1564436523,37,96.8,13.43,-87.45,2.6
47,Tautira,75,PF,1564436523,74,80.6,-17.73,-149.15,2.6
48,Aktau,0,KZ,1564436524,94,69.80000000000001,43.65,51.16,2.0
49,Kaeo,9,NZ,1564436524,100,55.004,-35.1,173.78,3.92
50,Tongliao,100,CN,1564436524,80,71.50999999999999,43.61,122.27,2.57
51,Puerto Narino,40,CO,1564436524,55,87.80000000000001,-3.77,-70.38,1.5
52,Talaya,0,RU,1564436524,72,62.6,55.79,84.89,3.0
53,Colonia,0,RO,1564436525,88,66.2,46.6,23.97,2.1
54,Katangli,100,RU,1564436525,98,52.97,51.71,143.23,2.0
55,Dingle,100,PH,1564436525,91,72.77,11.0,122.67,1.29
56,Hambantota,57,LK,1564436525,82,80.33000000000001,6.12,81.12,6.94
57,San Joaquin,100,PH,1564436525,91,75.11,10.59,122.14,1.98
58,Kamenka,98,MD,1564436526,73,71.006,48.03,28.7,1.89
59,Camacha,40,PT,1564436526,77,71.6,33.08,-16.33,5.1
60,Khon Buri,100,TH,1564436526,60,78.008,14.52,102.25,2.06
61,Bukan,0,IR,1564436526,30,62.51,36.52,46.21,1.22
62,Suciu de Sus,8,RO,1564436526,88,68.0,47.43,24.04,1.0
63,Meulaboh,48,ID,1564436526,74,80.50999999999999,4.14,96.13,3.13
64,Yanaul,100,RU,1564436527,80,48.11,56.27,54.93,4.51
65,La Romana,75,DO,1564436527,79,86.0,18.43,-68.97,3.1
66,Andilamena,78,MG,1564436527,90,61.61,-17.01,48.57,4.06
67,Salinopolis,100,BR,1564436527,79,81.95,-0.61,-47.36,6.33
68,Pitimbu,20,BR,1564436481,83,75.2,-7.47,-34.81,4.1
